"Accession","Coefficient_crp","P_Value_crp","R_Squared_crp","Q_Value_crp","Coefficient_uvascore","P_Value_uvascore","R_Squared_uvascore","Q_Value_uvascore","Coefficient_wbc","P_Value_wbc","R_Squared_wbc","Q_Value_wbc"
"TFG_HUMAN",31.8550683507038,0.51736287219948,0.0136464599572132,0.68915387719905,-0.627689630755415,0.483785767600307,0.0154428679142992,0.62055976856385,-0.581958141342208,0.769667338023927,0.0028067386487016,0.950184139765484
"TFR1_HUMAN",11.0555488060695,0.620123050301889,0.00802204263212542,0.757940092018806,0.43834851868063,0.277547148121653,0.036732337034573,0.431814456412906,-1.28968126628821,0.144949664282114,0.0672736036270253,0.540763738560564
"TGFB1_HUMAN",-23.9018134226283,0.536701460674906,0.0124344970728472,0.700825151993247,-0.056796103718439,0.934272381708172,0.000215867665592103,0.956363551324917,2.31532636605957,0.131355186421206,0.0719029172866786,0.514267955425554
"TGM2_HUMAN",-54.1509712209073,0.296524045429812,0.0350927994053914,0.494921258155141,-1.15446423831262,0.214016911042336,0.0478264064954003,0.366936585103939,-0.468796703631663,0.823968245526928,0.00162080276090409,0.957074351148663
"TGON2_HUMAN",1.50092512337071,0.943508622446338,0.000164595085578686,0.969639425046237,0.616045070628673,0.103243230539811,0.0808047208231878,0.238112578314902,-0.84726605526961,0.316760827677809,0.0323216840186306,0.73564383602393
"THAS_HUMAN",-29.0274202698987,0.351479682016196,0.0280565192024381,0.544226096069341,0.397646187731576,0.48142116044926,0.0156092595532026,0.619055180330174,1.96767071081033,0.112023910611247,0.0794469641143162,0.481461542797459
"THBG_HUMAN",-26.1215806987887,0.625661053051771,0.00777149048068794,0.761424805632954,-0.645868850668739,0.491105518462101,0.0149360365031664,0.625700347862812,-1.66157306593678,0.439757895561762,0.019377594112815,0.841726955625188
"THG1_HUMAN",-86.8388220742111,0.0633142497204079,0.106874914302348,0.226449244266795,-1.39447107694022,0.0960466268420498,0.0841612582177168,0.22619332252274,-0.190966890378044,0.921474496035438,0.000318507483203143,0.984991770967922
"THIC_HUMAN",-75.3273254699369,0.229835596902484,0.0461656959258824,0.427025341191731,-1.79822640200561,0.0457341009864604,0.118978038645009,0.146659663348557,-0.814340182465719,0.749926025109133,0.00332492288254879,0.950184139765484
"THIO_HUMAN",-111.741323693054,0.0967361359407605,0.0864533334017067,0.271645527682298,-1.74075494592822,0.15644372529597,0.0617521913699775,0.304378960081134,-2.02994416641801,0.461969351856576,0.0175823880653304,0.846008560063993
